"","filename","Date","Time","Site","Unit ID","User ID","°F-21A104910","mmHg-21A105443","DO %-21A106679","DO mg/L-21A106679","SPC-uS/cm-21A104910","C-uS/cm-21A104910","nLFC-uS/cm-21A104910","ohm-cm-21A104910","TDS mg/L-21A104910","SAL-PSU-21A104910","Density-21A104910","Density-T-21A104910","pH-21B101988","pH mV-21B101988","Phycocyanin RFU-21B101736","Phycocyanin ug/L-21B101736","Chlorophyll RFU-21B101736","Chlorophyll ug/L-21B101736","DEP m-20M103012","Vpos m-20M103012"
"1","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:51,"Tank 49","1",NA,62.802,752.9,76.1,7.33,155.1,131.8,157.1,7588,101,0.07,-1.2,-1.2,7.24,-111.5,0.04,0.02,-0.02,-0.36,-0.05,-0.053
"2","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:54,"Tank 49","1",NA,62.715,752.9,77.2,7.44,154.5,131.1,156.5,7630,100,0.07,-1.2,-1.2,7.22,-110.1,0.11,0.09,0,-0.26,-0.05,-0.049
"3","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:41:57,"Tank 49","1",NA,62.702,752.9,78.2,7.54,153.1,129.9,155.1,7699,100,0.07,-1.2,-1.2,7.2,-108.9,0.08,0.06,0,-0.29,-0.05,-0.041
"4","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:00,"Tank 49","1",NA,62.685,752.9,79,7.62,152.1,129,154.1,7753,99,0.07,-1.2,-1.2,7.18,-107.9,0.07,0.05,0.02,-0.18,-0.05,-0.043
"5","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:03,"Tank 49","1",NA,62.686,752.9,79.7,7.7,150.9,128,152.9,7813,98,0.07,-1.2,-1.2,7.16,-107,0.05,0.03,0.07,0,-0.05,-0.05
"6","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:06,"Tank 49","1",NA,62.675,752.9,80.3,7.75,149.5,126.8,151.5,7886,97,0.07,-1.2,-1.2,7.15,-106.1,0.03,0,0.06,-0.02,-0.05,-0.052
"7","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",10:42:09,"Tank 49","1",NA,62.663,752.9,80.9,7.81,148.1,125.6,150.1,7961,96,0.07,-1.2,-1.2,7.04,-99.8,0.05,0.03,0.05,-0.07,-0.05,-0.054
"8","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:31,"Tank 03","1",NA,63.793,753,48.9,4.66,104.5,89.9,105.8,11125,68,0.05,-1.3,-1.3,8.13,-162,0.27,0.25,0.12,0.23,-0.05,-0.05
"9","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:34,"Tank 03","1",NA,63.402,752.9,56.4,5.4,151.1,129.3,153,7734,98,0.07,-1.2,-1.2,8.1,-160.2,0.27,0.25,0.17,0.42,-0.05,-0.05
"10","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:37,"Tank 03","1",NA,63.332,753,59.7,5.71,154.7,132.2,156.6,7562,101,0.07,-1.2,-1.2,7.87,-146.7,0.31,0.28,0.12,0.21,-0.05,-0.04
"11","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:40,"Tank 03","1",NA,63.309,752.9,61.8,5.92,155.3,132.8,157.3,7532,101,0.07,-1.2,-1.2,7.76,-140.8,0.28,0.26,0.06,-0.04,-0.05,-0.037
"12","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:43,"Tank 03","1",NA,63.308,753,66.6,6.38,155.3,132.8,157.3,7531,101,0.07,-1.2,-1.2,7.72,-138.2,0.26,0.24,0.05,-0.06,-0.05,-0.052
"13","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:46,"Tank 03","1",NA,63.302,753,68.4,6.56,155.6,133,157.6,7518,101,0.07,-1.2,-1.2,7.69,-136.6,0.03,0,0.08,0.05,-0.049,-0.054
"14","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:04:49,"Tank 03","1",NA,63.308,753.1,69.5,6.66,155.7,133.1,157.7,7514,101,0.07,-1.2,-1.2,7.66,-135.3,-0.01,-0.03,0.13,0.25,-0.049,-0.054
"15","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:07:54,"Tank 01","1",NA,63.842,753.1,62.7,5.98,94.1,80.9,95.2,12354,61,0.04,-1.3,-1.3,7.97,-152.7,0.38,0.35,0.07,0.02,-0.049,-0.049
"16","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:07:57,"Tank 01","1",NA,63.671,753,67.5,6.44,93.3,80.1,94.5,12481,61,0.04,-1.3,-1.3,7.95,-151.3,0.4,0.38,0.07,0.03,-0.049,-0.036
"17","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:00,"Tank 01","1",NA,63.515,753,69.7,6.66,89.2,76.5,90.3,13080,58,0.04,-1.3,-1.3,7.75,-140.4,0.3,0.27,0.11,0.19,-0.049,-0.04
"18","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:03,"Tank 01","1",NA,63.342,753,71,6.8,89.4,76.4,90.5,13085,58,0.04,-1.3,-1.3,7.72,-138.8,0.14,0.12,0.08,0.05,-0.05,-0.05
"19","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:06,"Tank 01","1",NA,63.102,753,72.1,6.92,148,126.2,149.9,7924,96,0.07,-1.2,-1.2,7.71,-137.8,0.05,0.03,0.04,-0.1,-0.05,-0.052
"20","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:08:09,"Tank 01","1",NA,62.93,752.9,76,7.32,147.4,125.4,149.3,7972,96,0.07,-1.2,-1.2,7.7,-137.3,0,-0.02,0.06,-0.04,-0.05,-0.038
"21","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:22,"Tank 36","1",NA,63.263,753.1,60.6,5.81,77.4,66.1,78.3,15132,50,0.04,-1.3,-1.3,7.83,-144.9,0.26,0.24,0.08,0.06,-0.05,-0.05
"22","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:25,"Tank 36","1",NA,63.268,752.9,66.2,6.35,82,70,83,14280,53,0.04,-1.3,-1.3,7.79,-142.7,0.26,0.23,0.06,-0.03,-0.05,-0.052
"23","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:28,"Tank 36","1",NA,63.209,753,67.7,6.49,144.5,123.4,146.3,8106,94,0.07,-1.2,-1.2,7.77,-141.4,0.26,0.24,0.07,0,-0.05,-0.05
"24","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:31,"Tank 36","1",NA,63.148,752.9,68.8,6.6,146.2,124.7,148,8020,95,0.07,-1.2,-1.2,7.75,-140.4,0.13,0.1,0.05,-0.06,-0.05,-0.052
"25","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:34,"Tank 36","1",NA,63.092,753,69.8,6.71,146.5,124.9,148.3,8009,95,0.07,-1.2,-1.2,7.74,-139.7,0.05,0.03,0.1,0.13,-0.05,-0.05
"26","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:10:37,"Tank 36","1",NA,63.018,753,74.4,7.15,147.2,125.3,149,7978,96,0.07,-1.2,-1.2,7.73,-139.1,0.06,0.04,0.13,0.27,-0.05,-0.061
"27","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:11,"Tank 52","1",NA,63.394,753.1,71.8,6.87,148,126.7,149.9,7894,96,0.07,-1.2,-1.2,7.82,-144.4,0.06,0.04,0.03,-0.13,-0.048,-0.031
"28","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:14,"Tank 52","1",NA,63.344,753.1,72.5,6.95,148,126.6,149.9,7900,96,0.07,-1.2,-1.2,7.81,-143.6,0.07,0.04,0.04,-0.12,-0.049,-0.049
"29","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:17,"Tank 52","1",NA,63.296,753,73.2,7.01,148.5,126.9,150.4,7879,97,0.07,-1.2,-1.2,7.8,-142.7,0.02,-0.01,0.08,0.05,-0.049,-0.063
"30","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:20,"Tank 52","1",NA,63.209,753.1,74.2,7.12,149.3,127.4,151.2,7847,97,0.07,-1.2,-1.2,7.77,-141.1,-0.03,-0.05,0.08,0.06,-0.049,-0.047
"31","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:23,"Tank 52","1",NA,63.159,753.1,75.5,7.25,150.2,128.1,152.1,7803,98,0.07,-1.2,-1.2,7.74,-139.6,-0.06,-0.08,0.13,0.28,-0.049,-0.052
"32","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:13:26,"Tank 52","1",NA,63.103,753.1,76.7,7.36,150.9,128.6,152.8,7774,98,0.07,-1.2,-1.2,7.72,-138.2,-0.05,-0.07,0.19,0.51,-0.049,-0.052
"33","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:31,"Tank 04","1",NA,63.562,753,63.7,6.08,152,130.3,153.9,7672,99,0.07,-1.3,-1.3,7.89,-148.2,0.32,0.3,0.05,-0.04,-0.049,-0.037
"34","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:34,"Tank 04","1",NA,63.516,753.1,65,6.21,152.3,130.5,154.2,7662,99,0.07,-1.3,-1.3,7.87,-146.8,0.3,0.28,0.04,-0.11,-0.049,-0.038
"35","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:37,"Tank 04","1",NA,63.449,753.1,69.5,6.65,152.4,130.5,154.3,7665,99,0.07,-1.2,-1.2,7.84,-145.5,0.12,0.09,0.04,-0.12,-0.049,-0.053
"36","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:40,"Tank 04","1",NA,63.374,753,70.8,6.78,152,130,153.8,7693,99,0.07,-1.2,-1.2,7.82,-144.4,0.14,0.12,0.02,-0.19,-0.049,-0.059
"37","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:43,"Tank 04","1",NA,63.313,753,71.7,6.87,151.5,129.5,153.4,7723,98,0.07,-1.2,-1.2,7.81,-143.6,0.11,0.08,0.03,-0.16,-0.049,-0.041
"38","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:16:46,"Tank 04","1",NA,63.288,753,72.4,6.94,150.7,128.8,152.6,7765,98,0.07,-1.2,-1.2,7.78,-142,0.07,0.05,0.09,0.12,-0.049,-0.034
"39","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:05,"Tank 20","1",NA,63.636,753.1,68,6.5,140.6,120.6,142.3,8290,91,0.07,-1.3,-1.3,7.86,-146.5,0.2,0.17,0.06,-0.02,-0.049,-0.064
"40","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:08,"Tank 20","1",NA,63.607,753.1,72.2,6.89,148,127,149.8,7876,96,0.07,-1.3,-1.3,7.85,-145.6,0,-0.02,0.06,-0.04,-0.049,-0.057
"41","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:11,"Tank 20","1",NA,63.488,753,73.2,6.99,150.3,128.8,152.2,7764,98,0.07,-1.3,-1.3,7.83,-144.8,-0.02,-0.04,0.05,-0.05,-0.049,-0.049
"42","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:14,"Tank 20","1",NA,63.328,753.1,74,7.09,150.3,128.5,152.2,7781,98,0.07,-1.2,-1.2,7.82,-144,-0.01,-0.04,0.08,0.07,-0.048,-0.046
"43","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:17,"Tank 20","1",NA,63.202,753.2,74.7,7.16,150,128,151.9,7812,97,0.07,-1.2,-1.2,7.79,-142.6,-0.05,-0.07,0.08,0.05,-0.048,-0.043
"44","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:19:20,"Tank 20","1",NA,63.117,753.2,75.3,7.23,149.4,127.4,151.3,7852,97,0.07,-1.2,-1.2,7.77,-141.2,-0.04,-0.06,0.1,0.15,-0.048,-0.059
"45","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:42,"Tank 33","1",NA,63.953,753.1,62.9,5.99,153.3,132.1,155.2,7569,100,0.07,-1.3,-1.3,7.97,-152.4,0.29,0.27,0.09,0.1,-0.049,-0.06
"46","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:45,"Tank 33","1",NA,63.883,753.1,64,6.1,153.3,131.9,155.1,7579,100,0.07,-1.3,-1.3,7.94,-151.1,0.19,0.17,0.1,0.14,-0.049,-0.036
"47","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:48,"Tank 33","1",NA,63.797,753.2,68.5,6.52,153.7,132.2,155.6,7565,100,0.07,-1.3,-1.3,7.78,-141.9,0.06,0.03,0.06,-0.02,-0.049,-0.054
"48","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:51,"Tank 33","1",NA,63.691,753.1,69.8,6.66,153.5,131.8,155.4,7585,100,0.07,-1.3,-1.3,7.75,-140.5,0.03,0,0.06,-0.01,-0.049,-0.059
"49","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:54,"Tank 33","1",NA,63.581,753.1,70.7,6.75,152.3,130.6,154.2,7656,99,0.07,-1.3,-1.3,7.74,-139.5,0.02,-0.01,0.14,0.32,-0.049,-0.051
"50","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:22:57,"Tank 33","1",NA,63.525,753.1,71.4,6.82,151.3,129.7,153.2,7712,98,0.07,-1.3,-1.3,7.73,-139,0.01,-0.01,0.17,0.44,-0.049,-0.052
"51","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:29,"Tank 29","1",NA,68.69,753.2,77.2,6.96,150,136.8,151.3,7309,98,0.07,-1.8,-1.8,7.49,-126,0.17,0.15,0.07,0,-0.048,-0.053
"52","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:32,"Tank 29","1",NA,68.677,753.2,78.2,7.06,149.7,136.5,150.9,7327,97,0.07,-1.8,-1.8,7.47,-124.7,0.09,0.07,0.11,0.18,-0.048,-0.037
"53","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:35,"Tank 29","1",NA,68.659,753.1,79,7.13,149,135.8,150.3,7362,97,0.07,-1.8,-1.8,7.46,-124,0.05,0.03,0.11,0.2,-0.048,-0.055
"54","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:38,"Tank 29","1",NA,68.64,753.1,79.7,7.2,148.3,135.1,149.5,7401,96,0.07,-1.8,-1.8,7.45,-123.4,0.02,0,0.15,0.35,-0.047,-0.048
"55","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:41,"Tank 29","1",NA,68.627,753.2,80.6,7.28,147.7,134.5,148.9,7432,96,0.07,-1.8,-1.8,7.44,-122.9,0.06,0.04,0.12,0.24,-0.048,-0.047
"56","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:25:44,"Tank 29","1",NA,68.617,753.2,81.8,7.39,147.3,134.2,148.5,7453,96,0.07,-1.8,-1.8,7.43,-122.6,0.01,-0.02,0.1,0.14,-0.048,-0.054
"57","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:25,"Tank 45","1",NA,68.935,753.1,70.5,6.34,91.3,83.5,92,11977,59,0.04,-1.9,-1.9,7.75,-140.4,0.47,0.45,0.14,0.32,-0.048,-0.06
"58","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:28,"Tank 45","1",NA,68.962,753.1,72.1,6.49,78.7,72,79.3,13893,51,0.04,-1.9,-1.9,7.72,-138.7,0.45,0.43,0.07,0.04,-0.047,-0.048
"59","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:31,"Tank 45","1",NA,68.935,753.1,77,6.93,76,69.5,76.6,14398,49,0.03,-1.9,-1.9,7.55,-129,0.4,0.38,0.09,0.12,-0.048,-0.039
"60","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:34,"Tank 45","1",NA,68.909,753.2,78.4,7.06,75,68.6,75.7,14576,49,0.03,-1.9,-1.9,7.51,-126.9,0.22,0.2,0.08,0.07,-0.048,-0.048
"61","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:37,"Tank 45","1",NA,68.886,753.1,79.4,7.15,75.9,69.3,76.5,14422,49,0.03,-1.9,-1.9,7.49,-125.8,0.12,0.1,0.1,0.13,-0.048,-0.05
"62","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:40,"Tank 45","1",NA,68.846,753.1,80.3,7.23,145.9,133.3,147.1,7503,95,0.07,-1.8,-1.8,7.48,-125,0.13,0.11,0.12,0.23,-0.048,-0.05
"63","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:28:43,"Tank 45","1",NA,68.826,753.1,81,7.3,145.6,133,146.8,7521,95,0.07,-1.8,-1.8,7.47,-124.6,0.08,0.06,0.12,0.23,-0.048,-0.051
"64","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:10,"Tank 31","1",NA,68.8,753.1,69.9,6.3,157.5,143.8,158.8,6956,102,0.07,-1.8,-1.8,7.78,-142.4,0.35,0.33,0.04,-0.1,-0.048,-0.04
"65","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:13,"Tank 31","1",NA,68.82,753.1,71.8,6.47,91.4,83.4,92.1,11984,59,0.04,-1.9,-1.9,7.75,-140.3,0.38,0.36,-0.01,-0.32,-0.048,-0.054
"66","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:16,"Tank 31","1",NA,68.785,753.1,76.7,6.91,88.2,80.5,88.9,12421,57,0.04,-1.9,-1.9,7.59,-131.2,0.26,0.24,0.06,-0.04,-0.048,-0.051
"67","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:19,"Tank 31","1",NA,68.754,753.2,78.2,7.05,104.7,95.5,105.5,10471,68,0.05,-1.8,-1.8,7.55,-129.4,0.11,0.09,0.01,-0.24,-0.048,-0.051
"68","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:22,"Tank 31","1",NA,68.716,753.1,79.2,7.14,126.6,115.5,127.7,8659,82,0.06,-1.8,-1.8,7.54,-128.4,0.08,0.06,0.03,-0.15,-0.048,-0.051
"69","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:31:25,"Tank 31","1",NA,68.662,753.1,80,7.22,135.2,123.2,136.3,8117,88,0.06,-1.8,-1.8,7.53,-127.8,0.08,0.06,0.06,-0.02,-0.047,-0.033
"70","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:33:52,"Tank 63","1",NA,68.734,753.2,71.7,6.47,152.7,139.3,154,7177,99,0.07,-1.8,-1.8,7.79,-142.8,0.37,0.35,0.13,0.26,-0.049,-0.053
"71","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:33:55,"Tank 63","1",NA,68.733,753.2,76.1,6.86,152.4,139.1,153.7,7190,99,0.07,-1.8,-1.8,7.75,-140.8,0.31,0.29,0.11,0.19,-0.049,-0.049
"72","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:33:58,"Tank 63","1",NA,68.713,753.2,77.7,7.01,152.3,138.9,153.6,7199,99,0.07,-1.8,-1.8,7.58,-131.2,0.13,0.11,0.1,0.15,-0.049,-0.05
"73","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:34:01,"Tank 63","1",NA,68.7,753.1,78.7,7.1,151.4,138.1,152.6,7243,98,0.07,-1.8,-1.8,7.56,-130,-0.01,-0.03,0.09,0.09,-0.048,-0.034
"74","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:34:04,"Tank 63","1",NA,68.686,753.2,79.4,7.17,79.4,72.4,80.1,13811,52,0.04,-1.8,-1.8,7.55,-129.1,-0.02,-0.04,0.06,-0.04,-0.048,-0.033
"75","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:34:07,"Tank 63","1",NA,68.67,753.2,80.1,7.23,80.5,73.3,81.1,13635,52,0.04,-1.8,-1.8,7.54,-128.6,-0.01,-0.03,0.06,-0.04,-0.048,-0.048
"76","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:37,"Tank 62","1",NA,69.832,753.1,79.7,7.1,82.8,76.5,83.4,13066,54,0.04,-2,-2,7.54,-128.8,0.11,0.09,0.16,0.4,-0.048,-0.057
"77","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:40,"Tank 62","1",NA,69.846,753.2,80.5,7.17,79.6,73.6,80.2,13595,52,0.04,-2,-2,7.52,-127.8,0.07,0.04,0.13,0.27,-0.048,-0.06
"78","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:43,"Tank 62","1",NA,69.834,753.1,81.1,7.22,78.1,72.1,78.6,13866,51,0.04,-2,-2,7.51,-127,0.08,0.06,0.12,0.22,-0.048,-0.04
"79","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:46,"Tank 62","1",NA,69.803,753.1,81.8,7.29,74.8,69,75.3,14484,49,0.03,-2,-2,7.5,-126.2,0.09,0.06,0.15,0.35,-0.048,-0.054
"80","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:49,"Tank 62","1",NA,69.781,753.1,82.7,7.37,75.4,69.6,76,14359,49,0.03,-2,-2,7.49,-125.7,0.08,0.05,0.18,0.46,-0.049,-0.047
"81","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:36:52,"Tank 62","1",NA,69.751,753.1,83.8,7.48,78.1,72.1,78.7,13866,51,0.04,-2,-2,7.48,-125.3,0.05,0.03,0.17,0.45,-0.049,-0.048
"82","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:39:19,"Tank 14","1",NA,70.402,753,72.6,6.43,163.4,152,164.5,6581,106,0.08,-2,-2,7.72,-138.9,0.47,0.45,0.05,-0.06,-0.048,-0.046
"83","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 070722 101239.csv","6/27/2022",11:39:22,"Tank 14","1",NA,70.239,753.1,74.1,6.57,163.8,152,164.9,6579,106,0.08,-2,-2,7.69,-137.1,0.43,0.41,0.06,-0.04,-0.049,-0.052
